"PROTOCOL";"WALLTIME";
https;6.93223;
xrootd;6.9565;
https;6.90859;
https;6.96213;
xrootd;6.93903;
https;6.94333;
https;6.93407;
https;6.90187;
xrootd;7.74249;
https;6.90939;
https;6.90468;
xrootd;6.92817;
xrootd;6.92944;
xrootd;6.95126;
xrootd;6.94148;
https;6.89511;
xrootd;6.98803;
https;6.9305;
https;6.92337;
xrootd;7.00906;
xrootd;6.97423;
xrootd;7.44193;
xrootd;6.94011;
https;6.89974;
https;6.87934;
xrootd;6.93194;
xrootd;6.91697;
xrootd;6.96707;
https;6.89635;
https;6.94625;
xrootd;7.1122;
xrootd;7.13904;
https;6.89023;
xrootd;7.01181;
https;6.91856;
xrootd;6.93371;
xrootd;6.96309;
xrootd;7.11233;
https;6.87974;
xrootd;6.91886;
https;6.9293;
https;6.92775;
https;6.89736;
https;6.91114;
https;6.89813;
xrootd;6.94128;
xrootd;7.00608;
xrootd;6.96842;
xrootd;7.49083;
xrootd;6.93975;
xrootd;6.96138;
xrootd;6.90496;
https;6.90173;
xrootd;7.18696;
https;6.94546;
https;6.89825;
https;6.91734;
https;6.91763;
xrootd;6.92044;
xrootd;6.94557;
xrootd;6.91442;
xrootd;6.9196;
https;6.91828;
https;6.9092;
xrootd;7.19288;
xrootd;6.93577;
xrootd;7.10203;
https;6.92737;
xrootd;6.99766;
https;6.9068;
https;6.94371;
https;6.90835;
xrootd;7.01839;
xrootd;7.07522;
https;6.88948;
https;6.89867;
https;6.9434;
https;6.89836;
xrootd;7.19488;
https;6.87588;
https;6.89705;
https;6.88721;
https;6.90607;
https;6.87339;
https;6.93494;
xrootd;6.94716;
xrootd;7.41296;
xrootd;6.96873;
https;6.90729;
xrootd;6.93449;
xrootd;6.92213;
xrootd;6.95232;
https;6.91348;
https;6.92965;
https;6.88424;
https;6.89282;
xrootd;6.92263;
xrootd;7.26252;
xrootd;6.93062;
xrootd;6.93767;
xrootd;6.92453;
https;6.9026;
https;6.88695;
xrootd;6.95381;
xrootd;7.14251;
xrootd;6.98408;
xrootd;6.89854;
xrootd;7.19968;
xrootd;6.95998;
xrootd;7.20935;
xrootd;6.92591;
https;6.92326;
xrootd;6.94354;
https;6.89371;
xrootd;6.96269;
xrootd;6.91823;
xrootd;6.93637;
