"PROTOCOL";"WALLTIME"
xrootd;42.9281;
https;45.1507;
xrootd;44.2966;
https;44.3643;
https;43.0276;
xrootd;40.0063;
https;41.4526;
https;40.6558;
xrootd;47.3131;
xrootd;45.0992;
xrootd;40.764;
https;44.0829;
xrootd;44.2983;
xrootd;44.2386;
xrootd;40.53;
xrootd;43.3786;
https;40.9597;
xrootd;43.7424;
xrootd;42.9486;
xrootd;42.1027;
xrootd;43.0877;
https;43.993;
https;40.3935;
xrootd;43.4237;
https;42.7454;
https;40.264;
https;42.2299;
xrootd;40.0305;
xrootd;42.3274;
xrootd;46.9106;
xrootd;44.9311;
xrootd;41.0571;
xrootd;41.5984;
https;43.782;
https;41.8457;
https;43.9012;
xrootd;41.1372;
https;44.7365;
xrootd;43.7275;
xrootd;42.7659;
xrootd;41.967;
xrootd;42.5473;
xrootd;45.5009;
https;41.4788;
https;41.3828;
https;39.9351;
xrootd;43.6211;
https;41.0875;
https;42.4484;
xrootd;46.5156;
https;43.8312;
https;42.2114;
https;41.9452;
xrootd;42.4118;
https;40.0317;
https;42.0986;
https;40.6948;
xrootd;41.4591;
https;44.087;
xrootd;44.1887;
https;43.8773;
xrootd;41.272;
https;41.5172;
xrootd;45.5573;
https;42.8552;
https;41.1631;
https;42.7226;
xrootd;42.1948;
https;43.8583;
https;39.7663;
https;41.8902;
https;43.8773;
https;42.3959;
https;41.2158;
https;40.3112;
https;41.9706;
xrootd;42.8886;
xrootd;40.3472;
https;42.4461;
xrootd;41.8118;
xrootd;43.1727;
https;43.4482;
https;42.241;
https;42.0248;
https;42.8408;
xrootd;40.1816;
https;40.8583;
xrootd;43.7581;
xrootd;43.5599;
https;40.7932;
xrootd;42.9044;
https;44.1257;
https;40.364;
xrootd;44.1923;
https;40.9711;
xrootd;43.8714;
https;45.3047;
https;39.6184;
https;39.9792;
xrootd;42.0873;
https;39.4254;
xrootd;45.0428;
xrootd;43.2112;
xrootd;42.8587;
https;42.594;
xrootd;41.9733;
xrootd;40.6096;
xrootd;40.2633;
xrootd;43.0952;
xrootd;42.9415;
https;42.4983;
xrootd;39.6825;
xrootd;43.014;
xrootd;42.959;
https;42.0028;
xrootd;43.9002;
xrootd;40.8576;
xrootd;41.1096;
xrootd;40.3157;
https;42.0202;
xrootd;38.744;
https;40.3557;
https;46.2458;
https;42.6486;
xrootd;43.0867;
https;42.4689;
xrootd;40.9838;
https;40.9575;
https;43.2897;
xrootd;42.3098;
https;43.9653;
https;43.9479;
xrootd;43.1301;
https;42.3807;
xrootd;39.203;
xrootd;43.5355;
xrootd;45.1166;
xrootd;41.7195;
xrootd;43.4118;
https;39.9265;
https;41.9621;
https;43.6656;
https;45.1878;
xrootd;41.696;
xrootd;45.017;
https;45.7224;
https;42.1562;
xrootd;42.8501;
https;43.7033;
https;43.5282;
https;39.5789;
https;41.1447;
https;42.4504;
https;40.455;
